Region,Agreement_Type,Provider,Generation_Type,Generation_Capacity,PeriodCode,value,Date,temperature_2m_mean,wind_speed_10m_max,daylight_duration,snowfall_sum,temperature_2m_max,temperature_2m_min,precipitation_sum
Vilniaus regionas,BV,T,Gaminantis vartotojas,"27,5",KWH01,3406.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,72",KWH01,3827.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"5,92",KWH01,3402.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"8,36",KWH01,4202.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,15,KWH01,1427.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,361.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"44,73",KWH01,4968.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,72",KWH01,4533.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,95",KWH01,3695.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,8",KWH01,3637.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,08",KWH01,3385.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"4,81",KWH01,2170.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
